,Source Account,Text,Date,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,BBC News (World),The bean at the heart of America's trade war https://t.co/nAZsK178Bt,Thu Aug 02 00:00:24 +0000 2018,-0.599,0.0,0.698,0.302,1
1,BBC News (World),Toddler mauled by dog dies in Australia https://t.co/0bfD4QMvrO,Wed Aug 01 23:45:14 +0000 2018,0.0,0.0,1.0,0.0,2
2,BBC News (World),The European populists monitoring 'sham' elections https://t.co/AKzn57XRiz,Wed Aug 01 23:11:21 +0000 2018,0.0,0.0,1.0,0.0,3
3,BBC News (World),Russia shocked by mysterious murder of three journalists in CAR https://t.co/85gLbMFKk2,Wed Aug 01 23:08:37 +0000 2018,-0.791,0.0,0.562,0.438,4
4,BBC News (World),Officer wins suit over claim he was mocked for black ancestry https://t.co/Xh20oNQpfW,Wed Aug 01 22:40:25 +0000 2018,0.34,0.231,0.625,0.144,5
5,BBC News (World),The moment a passenger plane crashed in Mexico has been captured on video — thankfully all 103 people on board surv… https://t.co/w2xVUcDz5I,Wed Aug 01 20:56:18 +0000 2018,0.422,0.128,0.872,0.0,6
6,BBC News (World),New Zealand PM Jacinda Ardern returns from maternity leave https://t.co/n98cTOtfWq,Wed Aug 01 20:14:58 +0000 2018,-0.052,0.0,0.882,0.118,7
7,BBC News (World),RT @BBCNews: Passengers were forced to evacuate a Ryanair flight after a mobile phone connected to an external battery pack burst into flam…,Wed Aug 01 19:48:28 +0000 2018,-0.459,0.0,0.87,0.13,8
8,BBC News (World),Jewellery thefts that shocked the world https://t.co/rnS0PY4ZlB,Wed Aug 01 19:31:55 +0000 2018,-0.318,0.0,0.723,0.277,9
9,BBC News (World),US hits Turkish ministers with sanctions over pastor Andrew Brunson https://t.co/jFfrpwyLfe,Wed Aug 01 19:02:10 +0000 2018,0.0,0.0,1.0,0.0,10
10,BBC News (World),McDonald's serves pregnant Canadian cleaning fluid latte https://t.co/QoFAExuDJN,Wed Aug 01 18:45:13 +0000 2018,0.0,0.0,1.0,0.0,11
11,BBC News (World),Ethiopia's exiled patriarch Bishop Merkorios returns https://t.co/91Z5uZ5zyR,Wed Aug 01 18:29:39 +0000 2018,0.0,0.0,1.0,0.0,12
12,BBC News (World),Shifted sands reveal Roman settlement in Alderney https://t.co/PcpyAU4wE9,Wed Aug 01 18:22:05 +0000 2018,0.0,0.0,1.0,0.0,13
13,BBC News (World),"""We had just taken off then the plane fell"" — passengers on an Aeroméxico flight that crashed in Mexico describe wh… https://t.co/qcfy1jW8TL",Wed Aug 01 18:17:26 +0000 2018,0.0,0.0,1.0,0.0,14
14,BBC News (World),French rappers Booba and Kaaris brawl at Paris airport https://t.co/tbvLsBRmef,Wed Aug 01 17:31:12 +0000 2018,0.0,0.0,1.0,0.0,15
15,BBC News (World),Chinese takeover of German firm Leifeld collapses https://t.co/O4BWWIx6G8,Wed Aug 01 17:12:34 +0000 2018,-0.296,0.0,0.761,0.239,16
16,BBC News (World),In pictures: Zimbabwe election protesters clash with police https://t.co/hgy88mAoSF,Wed Aug 01 16:52:48 +0000 2018,-0.226,0.0,0.808,0.192,17
